,,,,,,,,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090101,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231
entity00126380_udf_BS_2017101822109437_CurrentAssets,선급비용,Prepaid expense,재무상태표 [abstract],자산 [abstract],유동자산,선급비용,,2.76498E+12,2.57281E+12,2.96176E+12,2.40622E+12,4.84514E+12,4.75644E+12,4.46526E+12,4.13617E+12,4.20148E+12,4.19593E+12,4.32703E+12,3.83522E+12,4.15541E+12,3.70512E+12,4.14999E+12,3.50208E+12,3.76853E+12,3.68188E+12,4.13722E+12,3.17063E+12,3.62382E+12,3.49952E+12,3.73176E+12,3.34659E+12,3.97401E+12,3.37948E+12,3.52056E+12,2.47295E+12,2.73853E+12,2.72431E+12,2.63641E+12,2.26223E+12,2.55702E+12,2.36895E+12,2.72783E+12,2.32946E+12,2.78764E+12,2.32982E+12,2.39536E+12,2.20074E+12,2.55476E+12,2.16561E+12,1.82068E+12,1.46045E+12,1.88376E+12,1.9315E+12,1.29232E+12,1.0186E+12,8.40363E+11,7.72629E+11,8.29406E+11,5.56182E+11,4.86612E+11,6.05993E+11,2.52836E+11
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,,3.24429E+13,2.96455E+13,2.84549E+13,2.67665E+13,3.09088E+13,3.1247E+13,3.1456E+13,2.89847E+13,2.82428E+13,2.73588E+13,2.64709E+13,2.49834E+13,2.70325E+13,2.30209E+13,2.18576E+13,1.83535E+13,1.83782E+13,1.78587E+13,1.87499E+13,1.88118E+13,2.28411E+13,1.93112E+13,1.91198E+13,1.73175E+13,1.88727E+13,1.82761E+13,1.96485E+13,1.91349E+13,2.19346E+13,2.15618E+13,1.95018E+13,1.77474E+13,1.94738E+13,1.7443E+13,1.63565E+13,1.57167E+13,1.66296E+13,1.40604E+13,1.41763E+13,1.33645E+13,1.54554E+13,1.38249E+13,1.17162E+13,9.83933E+12,9.39808E+12,9.49261E+12,7.9688E+12,6.75345E+12,5.86489E+12,5.80365E+12,4.78121E+12,4.29691E+12,3.61073E+12,4.72488E+12,3.48309E+12
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,,3.22556E+12,2.69513E+12,3.14289E+12,2.69558E+12,2.79849E+12,2.6807E+12,2.9875E+12,2.32634E+12,2.05299E+12,1.7942E+12,1.79993E+12,1.42106E+12,1.31831E+12,1.5217E+12,1.51292E+12,1.31565E+12,9.27739E+11,8.88206E+11,9.317E+11,1.03546E+12,1.11315E+12,1.11213E+12,1.31167E+12,1.79514E+12,1.82353E+12,2.0889E+12,2.20461E+12,2.13559E+12,2.10834E+12,2.1517E+12,1.89566E+12,1.46208E+12,1.36298E+12,1.30904E+12,1.0111E+12,9.88934E+11,8.64906E+11,7.24934E+11,7.85681E+11,7.46101E+11,7.89035E+11,1.07032E+12,8.15449E+11,6.64356E+11,6.71104E+11,,,,,,,,,,
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,,1.72154E+14,1.71823E+14,1.70718E+14,1.71179E+14,1.67344E+14,1.69507E+14,1.67679E+14,1.6466E+14,1.60914E+14,1.61712E+14,1.57531E+14,1.5477E+14,1.51256E+14,1.45417E+14,1.34933E+14,1.20745E+14,1.12305E+14,1.13798E+14,1.14653E+14,1.17365E+14,1.16789E+14,1.15901E+14,1.1726E+14,1.15277E+14,1.11935E+14,1.11923E+14,1.09047E+14,1.03315E+14,1.00647E+14,9.89712E+13,9.56451E+13,9.38026E+13,9.46497E+13,9.28398E+13,8.88639E+13,8.42982E+13,8.09516E+13,7.85252E+13,7.55751E+13,7.29062E+13,6.89294E+13,6.49854E+13,5.97991E+13,5.79685E+13,5.66685E+13,5.63321E+13,5.14741E+13,4.63773E+13,4.10626E+13,3.70134E+13,3.24866E+13,2.87908E+13,2.52442E+13,2.06252E+13,1.86866E+13
entity00126380_udf_BS_2020210113513266_NoncurrentAssets,장기매도가능금융자산,Long-term deposits not classified,재무상태표 [abstract],자산 [abstract],비유동자산,장기매도가능금융자산,,,,,,,,,,,,,7.75218E+12,8.06615E+12,7.56579E+12,6.96715E+12,6.80428E+12,7.68124E+12,8.3982E+12,8.44153E+12,8.33248E+12,8.62887E+12,9.16312E+12,1.22053E+13,1.26675E+13,1.23178E+13,1.06442E+13,8.13962E+12,6.23838E+12,6.96918E+12,6.71647E+12,5.82906E+12,5.22918E+12,5.14147E+12,4.08148E+12,4.15942E+12,3.2236E+12,2.38035E+12,3.03519E+12,3.02554E+12,3.04021E+12,2.3568E+12,1.82825E+12,1.86247E+12,1.48914E+12,1.26894E+12,,,,,,,,,,
entity00126380_udf_BS_2020210113515706_NoncurrentAssets,만기보유금융자산,Held-to-maturity,재무상태표 [abstract],자산 [abstract],비유동자산,만기보유금융자산,,,,,,,,,,,,,1.06751E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity00126380_udf_BS_20185101782898_NoncurrentAssets,상각후원가금융자산,after depreciation capital asset,재무상태표 [abstract],자산 [abstract],비유동자산,상각후원가금융자산,,,,,,1.34641E+11,9.10299E+11,5.5091E+11,2.38309E+11,2.42423E+11,2.42269E+11,2.6066E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity00126380_udf_BS_201851017830322_NoncurrentAssets,기타포괄손익-공정가치금융자산,oci-fair value capital asset,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치금융자산,,1.07445E+13,9.51192E+12,7.51396E+12,8.92071E+12,8.72804E+12,8.46692E+12,8.15103E+12,7.30135E+12,7.92116E+12,7.43654E+12,6.99775E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity00126380_udf_BS_201851017832579_NoncurrentAssets,당기손익-공정가치금융자산,income-fair value capital asset,재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치금융자산,,1.29926E+12,1.12826E+12,1.0651E+12,1.049E+12,9.62889E+11,8.37424E+11,7.73592E+11,7.75427E+11,7.00224E+11,6.50775E+11,6.24086E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity00126380_udf_BS_20171018221637438_NoncurrentAssets,관계기업 및 공동기업 투자,Availalble for sale financial asset associates and joint ventures,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업 및 공동기업 투자,,7.98246E+12,7.69388E+12,7.58817E+12,7.59161E+12,7.53694E+12,7.38983E+12,7.31595E+12,7.31321E+12,7.00534E+12,6.89496E+12,6.81065E+12,6.80235E+12,5.91426E+12,5.81488E+12,5.70136E+12,5.83788E+12,3.72167E+12,3.94253E+12,3.94235E+12,5.27635E+12,5.40614E+12,5.30304E+12,5.23443E+12,5.23246E+12,5.39192E+12,6.90462E+12,6.53734E+12,6.42229E+12,9.16127E+12,9.00843E+12,8.8008E+12,8.78549E+12,9.15766E+12,8.99692E+12,8.94733E+12,9.20417E+12,9.19165E+12,8.88641E+12,8.66308E+12,8.33529E+12,8.90469E+12,8.44343E+12,7.54308E+12,7.33471E+12,5.91293E+12,,,,,,,,,,
